RecordDate,MemberID,CalorieIntake,WeightLbs,HeightInches
2024-01-11,3,2800.00,148.80,64.00
2024-01-12,1,2600.00,151.50,68.00
2024-01-12,3,2800.00,148.50,64.00
2024-01-13,1,2600.00,151.00,68.00
2024-01-13,3,2800.00,148.20,64.00
2024-01-14,1,2600.00,151.50,68.00
2024-01-14,3,2800.00,147.90,64.00
2024-01-15,1,2600.00,151.50,68.00
2024-01-15,3,2800.00,147.60,64.00
2024-01-16,1,2600.00,151.00,68.00
2024-01-16,3,2800.00,147.30,64.00
2024-01-17,1,2600.00,151.00,68.00
2024-01-17,3,2800.00,146.80,64.00
2024-01-18,1,2600.00,150.50,68.00
2024-01-18,3,2800.00,146.30,64.00
2024-01-19,1,2600.00,151.00,68.00
2024-01-19,3,2800.00,145.80,64.00
2024-01-20,1,2600.00,151.00,68.00
2024-01-20,3,2700.00,145.30,64.00
2024-01-21,1,2600.00,151.50,68.00
2024-01-21,3,2700.00,144.80,64.00
2024-01-22,1,2600.00,151.50,68.00
2024-01-22,3,2700.00,144.30,64.00
2024-01-23,1,2600.00,151.00,68.00
2024-01-23,3,2700.00,143.80,64.00
2024-01-24,1,2600.00,151.00,68.00
2024-01-24,3,2700.00,143.30,64.00
2024-01-25,1,2600.00,151.50,68.00
2024-01-25,3,2700.00,142.80,64.00
2024-01-26,1,2600.00,151.00,68.00
2024-01-26,3,2700.00,142.30,64.00
2024-01-27,1,2600.00,150.50,68.00
2024-01-27,3,2700.00,141.80,64.00
2024-01-28,1,2600.00,151.00,68.00
2024-01-28,3,2700.00,141.30,64.00
2024-01-29,1,2600.00,151.50,68.00
2024-01-29,3,2700.00,140.80,64.00
2024-01-30,1,2600.00,151.00,68.00
2024-01-30,3,2700.00,140.30,64.00
2024-01-31,1,2600.00,150.50,68.00
2024-01-31,3,2700.00,139.80,64.00
2024-02-01,1,2600.00,151.50,68.00
2024-02-01,3,2700.00,139.30,64.00
2024-02-02,1,2600.00,151.00,68.00
2024-02-02,3,2700.00,138.80,64.00
2024-02-03,1,2600.00,151.50,68.00
2024-02-03,3,2700.00,138.30,64.00
2024-02-04,1,2600.00,151.50,68.00
2024-02-04,3,2700.00,137.80,64.00
2024-02-05,1,2600.00,151.00,68.00
2024-02-05,3,2700.00,137.30,64.00
2024-02-06,1,2600.00,150.50,68.00
2024-02-06,3,2700.00,137.00,64.00
2024-02-07,1,2600.00,151.50,68.00
2024-02-07,3,2600.00,136.70,64.00
2024-02-08,1,2600.00,150.50,68.00
2024-02-08,3,2600.00,136.40,64.00
2024-02-09,1,2600.00,151.00,68.00
2024-02-09,3,2600.00,136.10,64.00
2024-02-10,1,2600.00,151.50,68.00
2024-02-10,3,2600.00,135.80,64.00
2024-02-11,1,2600.00,151.50,68.00
2024-02-11,3,2600.00,135.50,64.00
2024-02-12,1,2600.00,151.00,68.00
2024-02-12,3,2600.00,135.20,64.00
2024-02-13,1,2600.00,151.00,68.00
2024-02-13,3,2600.00,134.90,64.00
2024-02-14,1,2600.00,151.50,68.00
2024-02-14,3,2600.00,134.60,64.00
2024-02-15,1,2600.00,151.00,68.00
2024-02-15,3,2600.00,134.30,64.00
2024-02-16,1,2600.00,151.50,68.00
2024-02-16,3,2600.00,134.00,64.00
2024-02-17,1,2600.00,150.50,68.00
2024-02-17,3,2600.00,133.70,64.00
2024-02-18,1,2600.00,150.50,68.00
2024-02-18,3,2600.00,133.40,64.00
2024-02-19,1,2600.00,151.00,68.00
2024-02-19,3,2600.00,133.10,64.00
2024-02-20,1,2600.00,150.50,68.00
2024-02-20,3,2600.00,132.80,64.00
2024-02-21,1,2600.00,150.50,68.00
2024-02-21,3,2600.00,132.50,64.00
2024-02-22,1,2600.00,151.00,68.00
2024-02-22,3,2600.00,132.20,64.00
2024-02-23,1,2600.00,150.50,68.00
2024-02-23,3,2600.00,131.90,64.00
2024-02-24,1,2600.00,151.50,68.00
2024-02-24,3,2600.00,131.60,64.00
2024-02-25,1,2600.00,151.00,68.00
2024-02-25,3,2600.00,131.30,64.00
2024-02-26,1,2600.00,150.50,68.00
2024-02-26,3,2500.00,131.00,64.00
2024-02-27,1,2600.00,151.00,68.00
2024-02-27,3,2500.00,130.70,64.00
2024-02-28,1,2600.00,151.00,68.00
2024-02-28,3,2500.00,130.40,64.00
2024-02-29,1,2600.00,151.50,68.00
2024-02-29,3,2500.00,130.10,64.00
2024-03-01,1,2600.00,150.50,68.00
2024-03-01,3,2500.00,129.80,64.00
2024-03-02,1,2600.00,150.50,68.00
2024-03-02,3,2500.00,129.50,64.00
2024-03-03,1,2600.00,150.50,68.00
2024-03-03,3,2500.00,129.20,64.00
2024-03-04,1,2600.00,151.50,68.00
2024-03-04,3,2500.00,128.90,64.00
2024-03-05,1,2600.00,151.50,68.00
2024-03-05,3,2500.00,128.60,64.00
2024-03-06,1,2600.00,151.50,68.00
2024-03-06,3,2500.00,128.30,64.00
2024-03-07,1,2600.00,151.50,68.00
2024-03-07,3,2500.00,128.00,64.00
2024-03-08,1,2600.00,150.50,68.00
2024-03-08,3,2500.00,127.70,64.00
2024-03-09,1,2600.00,150.50,68.00
2024-03-09,3,2500.00,127.40,64.00
2024-03-10,1,2600.00,150.50,68.00
2024-03-10,3,2500.00,127.10,64.00
2024-03-11,1,2600.00,151.50,68.00
2024-03-11,3,2500.00,126.80,64.00
2024-03-12,1,2600.00,151.00,68.00
2024-03-12,3,2400.00,126.50,64.00
2024-03-13,1,2600.00,150.50,68.00
2024-03-13,3,2400.00,126.20,64.00
2024-03-14,1,2600.00,151.00,68.00
2024-03-14,3,2400.00,125.90,64.00
2024-03-15,1,2600.00,151.00,68.00
2024-03-15,3,2400.00,125.60,64.00
2024-03-16,1,2600.00,151.00,68.00
2024-03-16,3,2400.00,125.30,64.00
2024-03-17,1,2600.00,151.00,68.00
2024-03-17,3,2400.00,125.00,64.00
2024-03-18,1,2600.00,150.50,68.00
2024-03-18,3,2400.00,124.70,64.00
2024-03-19,1,2600.00,151.00,68.00
2024-03-19,3,2400.00,124.40,64.00
2024-03-20,1,2600.00,151.50,68.00
2024-03-20,3,2400.00,124.10,64.00
2024-03-21,1,2600.00,151.50,68.00
2024-03-21,3,2400.00,123.80,64.00
2024-03-22,1,2600.00,151.50,68.00
2024-03-22,3,2300.00,123.50,64.00
2024-03-23,1,2600.00,151.00,68.00
2024-03-23,3,2300.00,123.20,64.00
2024-03-24,1,2600.00,151.00,68.00
2024-03-24,3,2300.00,122.90,64.00
2024-03-25,1,2600.00,151.00,68.00
2024-03-25,3,2300.00,122.60,64.00
2024-03-26,1,2600.00,150.50,68.00
2024-03-26,3,2300.00,122.30,64.00
2024-03-27,1,2600.00,151.00,68.00
2024-03-27,3,2300.00,122.00,64.00
2024-03-28,1,2600.00,151.50,70.00
2024-03-28,3,2300.00,122.00,64.00
2024-03-29,1,2600.00,150.50,68.00
2024-03-29,2,3000.00,170.50,70.00
2024-03-29,3,2300.00,122.00,64.00
2024-03-30,1,2600.00,151.00,68.00
2024-03-30,3,2300.00,122.00,64.00
2024-03-31,1,2600.00,151.00,68.00
2024-03-31,3,2300.00,122.00,64.00
2024-04-01,1,2600.00,151.00,68.00
2024-04-01,3,2300.00,121.70,64.00
2024-04-02,1,2600.00,151.50,68.00
2024-04-02,3,2300.00,121.40,64.00
2024-04-03,1,2600.00,151.50,68.00
2024-04-03,3,2300.00,121.10,64.00
2024-04-04,1,2600.00,151.00,70.00
2024-04-04,3,2300.00,120.80,64.00
2024-04-05,3,2300.00,120.50,64.00
2024-04-05,4,4000.00,150.30,68.00
2024-04-05,5,1800.00,120.20,65.00
2024-04-06,1,2600.00,151.50,70.00
2024-04-06,2,3000.00,169.50,70.00
2024-04-06,3,1500.00,120.20,64.00
2024-04-06,4,3000.00,150.30,68.00
2024-04-06,5,1800.00,120.20,65.00
2024-04-10,12,2500.00,160.50,60.50
2024-04-12,13,2500.00,150.00,68.00
